method,block_size,compressed_bytes,ratio,bits_per_sample,predictor_counts,encode_seconds,decode_seconds
wlc/raw,256,4541878,0.865756411775041,9.240474446614583,{'raw': 15360},0.688901709014317,0.7247608749894425
wlc/diff1,256,1147267,3.427414891215384,2.334120686848958,{'diff1': 15360},0.25888616699376144,0.4991242499963846
wlc/linear2,256,1544935,2.5451944580192696,3.1431783040364585,{'linear2': 15360},0.45864479200099595,1.31093354098266
wlc/adaptive,256,1138160,3.454839389892458,2.3155924479166665,"{'raw': 0, 'diff1': 14681, 'linear2': 679}",0.6896043329907116,0.5459116249985527
wlc/raw,1024,4530364,0.8679567469633787,9.217049153645833,{'raw': 3840},0.4284032089926768,0.7729608750087209
wlc/diff1,1024,797519,4.930490684234482,1.6225565592447917,{'diff1': 3840},0.0967769589915406,0.46240166600910015
wlc/linear2,1024,929106,4.232197402664497,1.89027099609375,{'linear2': 3840},0.09997779098921455,1.129067917005159
wlc/adaptive,1024,764357,5.144402419288369,1.5550882975260416,"{'raw': 0, 'diff1': 3401, 'linear2': 439}",0.20060112501960248,0.5006816669774707
wlc/raw,4096,4527485,0.8685086753462463,9.211191813151041,{'raw': 960},0.3554482919862494,0.702030874992488
wlc/diff1,4096,712309,5.520300880657131,1.4491963704427084,{'diff1': 960},0.05763358299736865,0.42373308300739154
wlc/linear2,4096,745073,5.277549985035024,1.5158548990885417,{'linear2': 960},0.05511170899262652,1.1586119160056114
wlc/adaptive,4096,665061,5.9124802085823704,1.353070068359375,"{'raw': 0, 'diff1': 812, 'linear2': 148}",0.09260037500644103,0.509822666994296
wlc/raw,16384,4526765,0.8686468151096864,9.209726969401041,{'raw': 240},0.2844959999783896,0.6794802499935031
wlc/diff1,16384,697367,5.638580546541491,1.4187967936197916,{'diff1': 240},0.04354095799499191,0.4000445420097094
wlc/linear2,16384,699126,5.624393886080621,1.42237548828125,{'linear2': 240},0.04361387499375269,1.1201702079852112
wlc/adaptive,16384,651733,6.033390974524844,1.3259541829427084,"{'raw': 0, 'diff1': 179, 'linear2': 61}",0.07460887500201352,0.5748823750182055
wlc/raw,65536,4526585,0.8686813569169695,9.209360758463541,{'raw': 60},0.27045620800345205,0.6824073750176467
wlc/diff1,65536,693655,5.668754640275065,1.4112447102864583,{'diff1': 60},0.03995450001093559,0.3949122079939116
wlc/linear2,65536,687695,5.717883654817906,1.3991190592447917,{'linear2': 60},0.04085099999792874,1.1158926250063814
wlc/adaptive,65536,654866,6.004526116793359,1.3323282877604166,"{'raw': 0, 'diff1': 40, 'linear2': 20}",0.06567391598946415,0.6318397499853745
zlib(level=9),,466068,8.436880455212544,0.9482177734375,{},0.5203092499868944,nan
bz2(level=9),,231249,17.00400866598342,0.470477294921875,{},0.13345079199643806,nan
lzma(preset=9|EXTREME),,297536,13.215745321574532,0.6053385416666667,{},5.207914415979758,nan
entropy(raw),,1933947.0420865368,2.0332304424207965,3.934625329765903,{},nan,nan
entropy(diff1),,550356.8310120322,7.144746423460005,1.1197038391358078,{},nan,nan
entropy(linear2),,537235.1537751879,7.3192529795722505,1.093007718455379,{},nan,nan
